XPos,YPos,Wafer,Part ID A,Bin A,Site A,Part ID B,Bin B,Site B,Test Number,Test Name,Min A,Max A,Min B,Max B
5,39,1,1747,6,7,36,6,7,8512,i_err_source                                                              ,-121.420,-73.660,-121.420,-73.660
5,39,1,1747,6,7,36,6,7,3321,vfbdi                                                                     ,1.100,1.400,1.100,1.400
5,39,1,1747,6,7,36,6,7,8938,v_CFG1_2                                                                  ,140.000,180.000,140.000,180.000
5,39,1,1747,6,7,36,6,7,3107,iref_6                                                                    ,1.200,19.800,1.200,19.800
5,39,1,1747,6,7,36,6,7,6104,f_smps_4                                                                  ,0.500,2.000,0.500,2.000
5,39,1,1747,6,7,36,6,7,8832,v_fsd                                                                     ,2.410,2.590,2.410,2.590
5,39,1,1747,6,7,36,6,7,8335,vref_vari_300                                                             ,1.280,1.450,1.280,1.450
5,39,1,1747,6,7,36,6,7,3115,iref_14                                                                   ,1.200,19.800,1.200,19.800
5,39,1,1747,6,7,36,6,7,4002,trans_fail_vec                                                            ,-0.500,0.500,-0.500,0.500
5,39,1,1747,6,7,36,6,7,8534,r_gain_250                                                                ,-0.305,-0.200,-0.305,-0.200
5,39,1,1747,6,7,36,6,7,6107,f_smps_7                                                                  ,0.500,2.000,0.500,2.000
5,39,1,1747,6,7,36,6,7,6110,f_smps_10                                                                 ,0.500,2.000,0.500,2.000
5,39,1,1747,6,7,36,6,7,8530,vref_vari_0                                                               ,1.120,1.280,1.120,1.280
5,39,1,1747,6,7,36,6,7,8934,v_CFG1_15                                                                 ,930.000,995.000,930.000,995.000
5,39,1,1747,6,7,36,6,7,3206,vref_4                                                                    ,1.102,1.398,1.102,1.398
5,39,1,1747,6,7,36,6,7,6106,f_smps_6                                                                  ,0.500,2.000,0.500,2.000
5,39,1,1747,6,7,36,6,7,8636,i_lim6                                                                    ,3.350,3.676,3.350,3.676
5,39,1,1747,6,7,36,6,7,3125,i_ptat                                                                    ,4.153,7.164,4.153,7.164
5,39,1,1747,6,7,36,6,7,8517,v_busov_GoNoGo                                                            ,0.900,1.100,0.900,1.100
5,39,1,1747,6,7,36,6,7,8508,i_err_m20mV                                                               ,-59.990,-15.490,-59.990,-15.490
5,39,1,1747,6,7,36,6,7,3116,iref_15                                                                   ,1.200,19.800,1.200,19.800
5,39,1,1747,6,7,36,6,7,8112,SMPS_DS_PostLeakage                                                       ,-0.750,0.750,-0.750,0.750
5,39,1,1747,6,7,36,6,7,8492,bgdif_fail                                                                ,-0.100,0.100,-0.100,0.100
5,39,1,1747,6,7,36,6,7,8633,i_lim3                                                                    ,1.738,1.898,1.738,1.898
5,39,1,1747,6,7,36,6,7,8833,v_hys_fsd                                                                 ,62.800,176.500,62.800,176.500
5,39,1,1747,6,7,36,6,7,8337,vref_vari_400                                                             ,1.320,1.480,1.320,1.480
