XPos,YPos,Wafer,Part ID A,Bin A,Site A,Part ID B,Bin B,Site B
5,39,1,1747,6,7,36,6,7
6,36,1,1758,8,7,37,8,7
7,28,1,1458,8,7,29,8,7
8,23,1,1438,8,6,28,8,6
9,44,1,1680,3,8,34,3,8
14,40,1,1710,8,7,35,8,7
15,19,1,1941,4,5,38,4,5
15,20,1,1943,8,7,39,1,7
16,16,1,1968,8,8,48,1,8
17,17,1,1945,4,1,40,4,1
17,18,1,1947,4,3,42,4,3
17,19,1,1949,4,5,44,4,5
17,20,1,1951,4,7,46,4,7
18,17,1,1946,4,2,41,4,2
18,18,1,1948,3,4,43,3,4
18,19,1,1950,4,6,45,4,6
18,20,1,1952,4,8,47,4,8
20,27,1,1503,4,6,30,4,6
20,28,1,1505,4,8,31,4,8
24,39,1,1600,8,5,32,8,5
25,23,1,1370,8,5,27,8,5
25,40,1,1603,4,8,33,4,8
26,6,1,2162,4,3,50,4,3
26,7,1,2164,4,5,52,4,5
26,8,1,2166,4,7,54,4,7
27,6,1,2163,3,4,51,3,4
27,7,1,2165,4,6,53,4,6
27,8,1,2167,4,8,55,4,8
28,44,1,696,2,7,24,2,7
30,54,1,494,8,7,23,8,7
31,1,1,14,2,1,1,2,1
33,6,1,2141,8,4,49,8,4
35,4,1,30,8,5,2,1,5
40,31,1,819,4,6,25,4,6
40,49,1,436,8,1,22,1,1
42,7,1,64,8,5,3,1,5
42,30,1,825,4,4,26,4,4
43,30,1,227,4,3,13,4,3
44,37,1,324,4,1,14,4,1
44,38,1,326,4,3,16,4,3
44,39,1,328,4,5,18,4,5
44,40,1,330,4,7,20,4,7
45,37,1,325,4,2,15,4,2
45,38,1,327,8,4,17,8,4
45,39,1,329,4,6,19,4,6
45,40,1,331,4,8,21,4,8
51,31,1,198,8,5,12,1,5
52,18,1,122,8,4,4,1,4
55,31,1,178,4,1,5,4,1
55,32,1,180,4,3,7,4,3
55,33,1,182,4,5,9,4,5
56,31,1,179,4,2,6,4,2
56,32,1,181,4,4,8,4,4
56,33,1,183,4,6,10,4,6
56,34,1,184,3,8,11,3,8
